date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:12:56	61368/61368	---M-Z	200	added ('OK')	text/html	etag:%22efb8-6242f0ce-9b41a5868a6f9248;gz%22	https://www.bakeryswapes.org/swap.html	C:/My%20Web%20Sites/bakery/www.bakeryswapes.org/swap.html	(from )
18:12:57	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-61b1c7c7-5813f1d029db383b;gz%22	https://www.bakeryswapes.org/robots.txt		(from )
18:12:57	15086/15086	---M-Z	200	added ('OK')	image/x-icon	etag:%223aee-6238343f-242bfbb3118f7c65;gz%22	https://www.bakeryswapes.org/favicon.ico	C:/My%20Web%20Sites/bakery/www.bakeryswapes.org/favicon.ico	(from https://www.bakeryswapes.org/swap.html)
18:12:58	161409/161409	---M-Z	200	added ('OK')	text/css	etag:W/%2227681-LKxK/BIJg5IUESlr1Oj9ipS6I34%22	https://cdn.jsdelivr.net/npm/bootstrap@4.6.0/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/bakery/cdn.jsdelivr.net/npm/bootstrap@4.6.0/dist/css/bootstrap.min.css	(from https://www.bakeryswapes.org/swap.html)
18:12:58	1590/1590	---M-Z	200	added ('OK')	text/css	etag:%22636-62383441-37a9571de394f83a;gz%22	https://www.bakeryswapes.org/navigation.min.css	C:/My%20Web%20Sites/bakery/www.bakeryswapes.org/navigation.min.css	(from https://www.bakeryswapes.org/swap.html)
18:12:59	48094/48094	---M-Z	200	added ('OK')	text/css	etag:%22bbde-6238343f-cb9a52395dcd06eb;gz%22	https://www.bakeryswapes.org/bundle.min.css	C:/My%20Web%20Sites/bakery/www.bakeryswapes.org/bundle.min.css	(from https://www.bakeryswapes.org/swap.html)
18:12:59	35360/35360	---M-Z	200	added ('OK')	text/css	etag:%228a20-62383441-5015abc17b5b1937;gz%22	https://www.bakeryswapes.org/style.css	C:/My%20Web%20Sites/bakery/www.bakeryswapes.org/style.css	(from https://www.bakeryswapes.org/swap.html)
18:12:59	4473/4473	---M-Z	200	added ('OK')	text/css	etag:%221179-62383441-9533f7e964f5975e;gz%22	https://www.bakeryswapes.org/settings.css	C:/My%20Web%20Sites/bakery/www.bakeryswapes.org/settings.css	(from https://www.bakeryswapes.org/swap.html)
18:13:01	473/473	---M-Z	200	added ('OK')	image/svg+xml	etag:%221d9-62383440-4bbcfeab9d7ce450;gz%22	https://www.bakeryswapes.org/images/unfold.af1d0638.svg	C:/My%20Web%20Sites/bakery/www.bakeryswapes.org/images/unfold.af1d0638.svg	(from https://www.bakeryswapes.org/swap.html)
18:13:01	206948/206948	---M-Z	200	added ('OK')	application/javascript	etag:%22624d8efd-1343c%22	https://mc.yandex.ru/metrika/tag.js	C:/My%20Web%20Sites/bakery/mc.yandex.ru/metrika/tag.js	(from https://www.bakeryswapes.org/swap.html)
18:13:02	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2006%20Apr%202022%2021:12:54%20GMT	https://www.bakeryswapes.org/.	C:/My%20Web%20Sites/bakery/www.bakeryswapes.org/	(from https://www.bakeryswapes.org/swap.html)
18:13:02	8019/8019	---M-Z	200	added ('OK')	image/svg+xml	etag:%221f53-62383440-17fa114bec0cdfb7;gz%22	https://www.bakeryswapes.org/images/logo.4e93c681.svg	C:/My%20Web%20Sites/bakery/www.bakeryswapes.org/images/logo.4e93c681.svg	(from https://www.bakeryswapes.org/swap.html)
18:13:02	216637/216637	---M-Z	200	added ('OK')	text/html	etag:%2234e3d-6242f0ae-603cca38365dd1d;gz%22	https://www.bakeryswapes.org/	C:/My%20Web%20Sites/bakery/www.bakeryswapes.org/index.html	(from https://www.bakeryswapes.org/swap.html)
18:13:03	14959/14959	---M-Z	200	added ('OK')	image/svg+xml	etag:%223a6f-62383440-c8dd16babad59f52;gz%22	https://www.bakeryswapes.org/images/wordmark.a003062e.svg	C:/My%20Web%20Sites/bakery/www.bakeryswapes.org/images/wordmark.a003062e.svg	(from https://www.bakeryswapes.org/swap.html)
18:13:04	216637/216637	---M-Z	200	added ('OK')	text/html	etag:%2234e3d-6242f0ae-603cca38365dd1d;gz%22	https://www.bakeryswapes.org/index.html	C:/My%20Web%20Sites/bakery/www.bakeryswapes.org/index-2.html	(from https://www.bakeryswapes.org/swap.html)
18:13:04	821/821	---M-Z	200	added ('OK')	image/svg+xml	etag:%22335-62383440-53ebd8cbcabce451;gz%22	https://www.bakeryswapes.org/images/home.979f9a8a.svg	C:/My%20Web%20Sites/bakery/www.bakeryswapes.org/images/home.979f9a8a.svg	(from https://www.bakeryswapes.org/swap.html)
18:13:05	1627/1627	---M-Z	200	added ('OK')	image/svg+xml	etag:%2265b-62383440-b4516f6180011af9;gz%22	https://www.bakeryswapes.org/images/trade.9c696aab.svg	C:/My%20Web%20Sites/bakery/www.bakeryswapes.org/images/trade.9c696aab.svg	(from https://www.bakeryswapes.org/swap.html)
18:13:05	329/329	---M-Z	200	added ('OK')	image/svg+xml	etag:%22149-62383440-947dfbe929007601;gz%22	https://www.bakeryswapes.org/images/triangle_down.336fb20e.svg	C:/My%20Web%20Sites/bakery/www.bakeryswapes.org/images/triangle_down.336fb20e.svg	(from https://www.bakeryswapes.org/swap.html)
18:13:06	1337/1337	---M-Z	200	added ('OK')	image/svg+xml	etag:%22539-62383440-465d6df63a3ca394;gz%22	https://www.bakeryswapes.org/images/exchange.59b59ded.svg	C:/My%20Web%20Sites/bakery/www.bakeryswapes.org/images/exchange.59b59ded.svg	(from https://www.bakeryswapes.org/swap.html)
18:13:06	50222/50222	---M-Z	200	added ('OK')	text/html	etag:%22c42e-6242f0bc-b7a30c769e4a3929;gz%22	https://www.bakeryswapes.org/liquidity.html	C:/My%20Web%20Sites/bakery/www.bakeryswapes.org/liquidity.html	(from https://www.bakeryswapes.org/swap.html)
18:13:06	2817/2817	---M-Z	200	added ('OK')	image/svg+xml	etag:%22b01-62383440-2a492afc3b3436dc;gz%22	https://www.bakeryswapes.org/images/liquidity.5e258eb9.svg	C:/My%20Web%20Sites/bakery/www.bakeryswapes.org/images/liquidity.5e258eb9.svg	(from https://www.bakeryswapes.org/swap.html)
18:13:07	127122/127122	---M-Z	200	added ('OK')	text/html	etag:%221f092-6242f09d-c8bf7931be0b3069;gz%22	https://www.bakeryswapes.org/earning.html	C:/My%20Web%20Sites/bakery/www.bakeryswapes.org/earning.html	(from https://www.bakeryswapes.org/swap.html)
18:13:07	952/952	---M-Z	200	added ('OK')	image/svg+xml	etag:%223b8-62383440-e967200b1eb293d8;gz%22	https://www.bakeryswapes.org/images/earning_select.f9b4b522.svg	C:/My%20Web%20Sites/bakery/www.bakeryswapes.org/images/earning_select.f9b4b522.svg	(from https://www.bakeryswapes.org/swap.html)
18:13:07	95220/95220	---M-Z	200	added ('OK')	text/html	etag:%22173f4-6242f0c6-b26efdc54ed20788;gz%22	https://www.bakeryswapes.org/nft.html	C:/My%20Web%20Sites/bakery/www.bakeryswapes.org/nft.html	(from https://www.bakeryswapes.org/swap.html)
18:13:08	919/919	---M-Z	200	added ('OK')	image/svg+xml	etag:%22397-62383440-f0a1e768e3ec028d;gz%22	https://www.bakeryswapes.org/images/nft.02261315.svg	C:/My%20Web%20Sites/bakery/www.bakeryswapes.org/images/nft.02261315.svg	(from https://www.bakeryswapes.org/swap.html)
18:13:08	3906/3906	---M-Z	200	added ('OK')	image/svg+xml	etag:%22f42-62383440-8c4f28de52daaaf2;gz%22	https://www.bakeryswapes.org/images/gallery.7e87d6d3.svg	C:/My%20Web%20Sites/bakery/www.bakeryswapes.org/images/gallery.7e87d6d3.svg	(from https://www.bakeryswapes.org/swap.html)
18:13:09	1162/1162	---M-Z	200	added ('OK')	image/svg+xml	etag:%2248a-62383440-ffd6444003e5e6a9;gz%22	https://www.bakeryswapes.org/images/launchpad.b79cf5ba.svg	C:/My%20Web%20Sites/bakery/www.bakeryswapes.org/images/launchpad.b79cf5ba.svg	(from https://www.bakeryswapes.org/swap.html)
18:13:09	52850/52850	---M-Z	200	added ('OK')	text/html	etag:%22ce72-6242f0a3-aaf6abfeae8ee4d0;gz%22	https://www.bakeryswapes.org/gamification.html	C:/My%20Web%20Sites/bakery/www.bakeryswapes.org/gamification.html	(from https://www.bakeryswapes.org/swap.html)
18:13:10	60418/60418	---M-Z	200	added ('OK')	text/html	etag:%22ec02-6242f0b7-1217b46b4ecb3316;gz%22	https://www.bakeryswapes.org/launchpad.html	C:/My%20Web%20Sites/bakery/www.bakeryswapes.org/launchpad.html	(from https://www.bakeryswapes.org/swap.html)
18:13:11	1931/1931	---M-Z	200	added ('OK')	image/svg+xml	etag:%2278b-62383440-8cda63489ebdc81;gz%22	https://www.bakeryswapes.org/images/game.ebcccdaf.svg	C:/My%20Web%20Sites/bakery/www.bakeryswapes.org/images/game.ebcccdaf.svg	(from https://www.bakeryswapes.org/swap.html)
18:13:11	1511/1511	---M-Z	200	added ('OK')	image/svg+xml	etag:%225e7-62383440-11eb2a88b94e6825;gz%22	https://www.bakeryswapes.org/images/info.10a5cc6a.svg	C:/My%20Web%20Sites/bakery/www.bakeryswapes.org/images/info.10a5cc6a.svg	(from https://www.bakeryswapes.org/swap.html)
18:13:12	1125/1125	---M-Z	200	added ('OK')	image/svg+xml	etag:%22465-62383440-64c5885f24a09222;gz%22	https://www.bakeryswapes.org/images/contact.565401ef.svg	C:/My%20Web%20Sites/bakery/www.bakeryswapes.org/images/contact.565401ef.svg	(from https://www.bakeryswapes.org/swap.html)
18:13:12	1107/1107	---M-Z	200	added ('OK')	image/svg+xml	etag:%22453-62383440-eca6013da53ffd23;gz%22	https://www.bakeryswapes.org/images/twitter.2da971ef.svg	C:/My%20Web%20Sites/bakery/www.bakeryswapes.org/images/twitter.2da971ef.svg	(from https://www.bakeryswapes.org/swap.html)
18:13:12	851/851	---M-Z	200	added ('OK')	image/svg+xml	etag:%22353-62383440-db5bc36dc0e747b2;gz%22	https://www.bakeryswapes.org/images/medium.b2a30939.svg	C:/My%20Web%20Sites/bakery/www.bakeryswapes.org/images/medium.b2a30939.svg	(from https://www.bakeryswapes.org/swap.html)
18:13:13	496/496	---M-Z	200	added ('OK')	image/svg+xml	etag:%221f0-62383440-9fc1f8e2d8c8a686;gz%22	https://www.bakeryswapes.org/images/triangle_left.f2cd4824.svg	C:/My%20Web%20Sites/bakery/www.bakeryswapes.org/images/triangle_left.f2cd4824.svg	(from https://www.bakeryswapes.org/swap.html)
18:13:13	7086/7086	---M--	200	added ('OK')	image/png	etag:%221bae-62383440-aa977fac30776711;;;%22	https://www.bakeryswapes.org/images/1INCH.png	C:/My%20Web%20Sites/bakery/www.bakeryswapes.org/images/1INCH.png	(from https://www.bakeryswapes.org/swap.html)
18:13:14	2029/2029	---M--	200	added ('OK')	image/png	etag:%227ed-62383440-ae8a8adf1f41dfdc;;;%22	https://www.bakeryswapes.org/images/AETH.png	C:/My%20Web%20Sites/bakery/www.bakeryswapes.org/images/AETH.png	(from https://www.bakeryswapes.org/swap.html)
